label,status,hit,latency_ms,expected_id,source,top5_ids,top5_names,used_payload_json
서울 은평구 응암동 244-179 63 28000000만원,200,1,57.2,2162,hit,"[2560, 1818, 2162]","['퍼니펑키 슬라임카페', '카페케일럽', 'Noki']","{""totalAmount"": 28000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [63], ""address"": {""sidoName"": ""서울"", ""gunName"": ""은평구"", ""dongName"": ""응암동""}, ""exclusiveArea"": ""OVER_20"", ""option"": [""AUTO_OPERATE"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
부산 해운대구 좌동순환로 275 63 45000000만원,200,1,63.7,1585,hit,"[3135, 2541, 2539, 1585, 2538]","['해운대구', '공실', '공실', '카페세도나 해운대점', '공실']","{""totalAmount"": 45000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [63], ""address"": {""sidoName"": ""부산"", ""gunName"": ""해운대구"", ""dongName"": ""좌동순환로""}, ""exclusiveArea"": ""ANY"", ""option"": [""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
경기 양주시 옥정동로7길 20 27 75000000만원,200,1,55.6,2443,hit,"[2443, 1036, 1797, 1451, 1942]","['유노이아헤어(yunoia)', '본어게인', '유노이아헤어(yunoia)', '로그', 'JD필라테스 앤 PT']","{""totalAmount"": 75000000, ""monthlyAvgSales"": ""RANGE_10M_20M"", ""mainCategoryId"": [], ""subCategoryId"": [27], ""address"": {""sidoName"": ""경기"", ""gunName"": ""양주시"", ""dongName"": ""옥정동로7길""}, ""exclusiveArea"": ""OVER_30"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
충남 아산시 탕정면 한들물빛도시로 70 42 260000000만원,200,1,58.5,2121,hit,[2121],"['고기,원칙']","{""totalAmount"": 260000000, ""monthlyAvgSales"": ""RANGE_50M_100M"", ""mainCategoryId"": [], ""subCategoryId"": [42], ""address"": {""sidoName"": ""충남"", ""gunName"": ""아산시"", ""dongName"": ""탕정면""}, ""exclusiveArea"": ""OVER_30"", ""option"": [""PARKING"", ""EMPLOYEE_TAKEOVER"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
부산 수영구 무학로52번길 49 42 50000000만원,200,1,69.4,1052,hit,"[1052, 1408, 1407]","['일식월주', '브뤼트피자', '브뤼트피자']","{""totalAmount"": 50000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [42], ""address"": {""sidoName"": ""부산"", ""gunName"": ""수영구"", ""dongName"": ""무학로52번길""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
부산 강서구 명지국제8로 296 41 50000000만원,200,1,68.8,2280,hit,"[2342, 2280]","['미스터피자', '미스터피자']","{""totalAmount"": 50000000, ""monthlyAvgSales"": ""RANGE_20M_30M"", ""mainCategoryId"": [], ""subCategoryId"": [41], ""address"": {""sidoName"": ""부산"", ""gunName"": ""강서구"", ""dongName"": ""명지국제8로""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
대구 달서구 갈밭로12길 15 63 75000000만원,200,1,300.5,2446,hit,"[1850, 585, 2935, 2933, 2446]","['미정', '어푸어푸키즈풀', '프린스턴 학원', '프린스턴 학원', '몬탁에서 만나(Meet me in Montauk)']","{""totalAmount"": 75000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [63], ""address"": {""sidoName"": ""대구"", ""gunName"": ""달서구"", ""dongName"": ""갈밭로12길""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
부산 남구 용호동 15 130000000만원,200,1,54.7,2531,hit,"[2531, 2530]","['홍대개미', '홍대개미']","{""totalAmount"": 130000000, ""monthlyAvgSales"": ""RANGE_30M_50M"", ""mainCategoryId"": [], ""subCategoryId"": [15], ""address"": {""sidoName"": ""부산"", ""gunName"": ""남구"", ""dongName"": ""용호동""}, ""exclusiveArea"": ""OVER_30"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""EMPLOYEE_TAKEOVER"", ""SPECIAL_COMMERCIAL"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
경기 구리시 원수택로 23 42 26000000만원,200,1,54.2,607,hit,"[662, 607]","['신떡순신천할매떡볶이', '신떡순신천할매떡볶이']","{""totalAmount"": 26000000, ""monthlyAvgSales"": ""RANGE_10M_20M"", ""mainCategoryId"": [], ""subCategoryId"": [42], ""address"": {""sidoName"": ""경기"", ""gunName"": ""구리시"", ""dongName"": ""원수택로""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
경기 구리시 수택동 473-7 30 35000000만원,200,1,68.2,853,hit,[853],['라멘마켓 '],"{""totalAmount"": 35000000, ""monthlyAvgSales"": ""RANGE_10M_20M"", ""mainCategoryId"": [], ""subCategoryId"": [30], ""address"": {""sidoName"": ""경기"", ""gunName"": ""구리시"", ""dongName"": ""수택동""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
경기 의정부시 의정부동 6-5 25 27000000만원,200,0,72.1,1866,nonhit,"[3306, 3028, 2375, 2347, 2102]","['테스트1', '차차커피코 의정부로데오점', '갓츠킹', '우막산순대국(금오점)', '매운집곱도리탕']","{""totalAmount"": 27000000, ""monthlyAvgSales"": ""RANGE_10M_20M"", ""mainCategoryId"": [], ""subCategoryId"": [25], ""address"": {""sidoName"": ""경기"", ""gunName"": ""의정부시"", ""dongName"": ""의정부동""}, ""exclusiveArea"": ""ANY"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""EMPLOYEE_TAKEOVER""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 1}"
서울 강서구 화곡로 416 36 115000000만원,200,1,80.6,2252,hit,"[2570, 2344, 2252, 573, 656]","['르반필라테스', '취향마라 가양역점', '취향마라 가양역점', '초밥대통령', '초밥대통령']","{""totalAmount"": 115000000, ""monthlyAvgSales"": ""RANGE_20M_30M"", ""mainCategoryId"": [], ""subCategoryId"": [36], ""address"": {""sidoName"": ""서울"", ""gunName"": ""강서구"", ""dongName"": ""화곡로""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""PARKING"", ""EMPLOYEE_TAKEOVER"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
충남 보령시 해수욕장9길 7 17 150000000만원,200,1,74.0,1485,hit,[1485],['비치마루펜션 '],"{""totalAmount"": 150000000, ""monthlyAvgSales"": ""RANGE_30M_50M"", ""mainCategoryId"": [], ""subCategoryId"": [17], ""address"": {""sidoName"": ""충남"", ""gunName"": ""보령시"", ""dongName"": ""해수욕장9길""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 강북구 오현로 29 63 45000000만원,200,1,65.3,844,hit,"[844, 1511, 1355, 2010, 1998]","['카페29', '땅콩카페', 'LG유플러스', '와이낫', '커피읻다']","{""totalAmount"": 45000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [63], ""address"": {""sidoName"": ""서울"", ""gunName"": ""강북구"", ""dongName"": ""오현로""}, ""exclusiveArea"": ""ANY"", ""option"": [""OPERATION_PERIOD"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
대전 유성구 문지동 651-3 42 50000000만원,200,1,67.8,2174,hit,[2174],['생대목'],"{""totalAmount"": 50000000, ""monthlyAvgSales"": ""RANGE_20M_30M"", ""mainCategoryId"": [], ""subCategoryId"": [42], ""address"": {""sidoName"": ""대전"", ""gunName"": ""유성구"", ""dongName"": ""문지동""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 양천구 목동 960 30 90000000만원,200,1,67.9,1898,hit,"[1204, 971, 1898, 970]","['고기극찬 양천점', '토리아에즈', '토리아에즈', '토리아에즈']","{""totalAmount"": 90000000, ""monthlyAvgSales"": ""RANGE_50M_100M"", ""mainCategoryId"": [], ""subCategoryId"": [30], ""address"": {""sidoName"": ""서울"", ""gunName"": ""양천구"", ""dongName"": ""목동""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""EMPLOYEE_TAKEOVER"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
경기 화성시 서신면 전곡리 1113-5 31 20000000만원,200,1,62.2,1489,hit,"[1697, 2567, 1489, 1410, 1857]","['벨루아', '돈발', 'ㅇ', '아워풀데이남양점', '스터디카페 드리밍']","{""totalAmount"": 20000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [31], ""address"": {""sidoName"": ""경기"", ""gunName"": ""화성시"", ""dongName"": ""서신면""}, ""exclusiveArea"": ""OVER_20"", ""option"": [""AUTO_OPERATE"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 강서구 화곡로 398 57 22000000만원,200,1,63.8,1226,hit,"[1226, 2760]","['프렌치메종', '테라']","{""totalAmount"": 22000000, ""monthlyAvgSales"": ""RANGE_10M_20M"", ""mainCategoryId"": [], ""subCategoryId"": [57], ""address"": {""sidoName"": ""서울"", ""gunName"": ""강서구"", ""dongName"": ""화곡로""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 서대문구 연세로9길 25 63 55000000만원,200,1,60.1,2755,hit,"[1102, 2755]","['프레쉬 스터디카페 신촌점', '안다르커피']","{""totalAmount"": 55000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [63], ""address"": {""sidoName"": ""서울"", ""gunName"": ""서대문구"", ""dongName"": ""연세로9길""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""SPECIAL_COMMERCIAL"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
경기 성남시 분당구 구미동 143-1 37 100000000만원,200,1,63.1,2476,hit,"[2619, 2476, 2699, 2628, 2447]","['푸라닭', '지코바양념치킨', '비비큐', '비비큐', '푸라닭']","{""totalAmount"": 100000000, ""monthlyAvgSales"": ""RANGE_30M_50M"", ""mainCategoryId"": [], ""subCategoryId"": [37], ""address"": {""sidoName"": ""경기"", ""gunName"": ""성남시"", ""dongName"": ""분당구""}, ""exclusiveArea"": ""OVER_30"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
경기 오산시 밀머리로 87 14 43000000만원,200,1,64.4,727,hit,"[727, 2670]","['삼첩분식', '카페베네']","{""totalAmount"": 43000000, ""monthlyAvgSales"": ""RANGE_20M_30M"", ""mainCategoryId"": [], ""subCategoryId"": [14], ""address"": {""sidoName"": ""경기"", ""gunName"": ""오산시"", ""dongName"": ""밀머리로""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
